Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
28.798 -0.4683 0.9395 4.8899 0.3434 0.1416 0.1664 0.1844 -0.4475 -0.0949 0.2413 0.1845 0.0371 -0.3214 0.3188
11.286 -0.6996 0.9115 4.375 1.2607 0.1373 0.1926 0.1951 -1.1129 -0.9679 0.0508 0.2006 0.0335 0.709 0.7574
20.274 -0.4498 1.0241 1.7702 0.5191 0.1472 0.2771 0.1736 -1.2875 -0.3175 0.248 0.1202 0.1118 -0.3666 0.8584
28.658 0.2555 0.6289 2.3037 0.4773 0.1582 0.2344 0.0916 0.6907 1.5875 0.0156 0.1619 0.1348 -0.6066 0.8595
24.05 0.4616 1.4971 4.6836 1.6289 0.1619 0.1356 0.1934 0.0139 0.7253 0.1678 0.2718 0.0773 0.532 0.43
23.314 0.4504 0.7109 2.7184 1.7798 0.1606 0.2786 0.1735 -1.7519 1.3421 0.0171 0.2917 0.0999 0.0267 0.6911
13.706 0.6159 0.5513 4.6619 0.3787 0.1648 0.1301 0.1207 0.2167 -0.9997 0.0676 0.2728 0.0281 0.6021 0.7455
25.594 -0.3053 0.8477 0.0762 1.3038 0.1615 0.2491 0.065 0.4099 0.4865 0.0321 0.1352 0.1255 0.747 0.5987
29.158 -0.6164 1.4873 2.5395 0.6854 0.1584 0.2479 0.1551 0.8773 1.9559 0.1232 0.2418 0.0513 -0.5122 0.9156
24.79 -0.5372 1.0727 1.8291 0.5065 0.1614 0.1384 0.0752 -1.8959 1.1579 0.1316 0.1307 0.1125 -0.5765 0.5738
13.366 -0.5447 0.8631 0.7807 1.4609 0.149 0.1465 0.1747 0.2695 0.2981 0.0289 0.1339 0.1489 -0.587 0.9472
23.43 0.6842 0.6133 3.8375 1.9434 0.1604 0.1943 0.1972 0.4135 0.3449 0.0219 0.1418 0.0659 -0.1941 0.4639
13.686 0.5839 1.1923 4.8653 1.5704 0.1452 0.2967 0.1288 0.6925 -0.9691 0.0195 0.2386 0.096 -0.7077 0.8973
10.546 0.5971 0.6325 3.3492 1.8842 0.1428 0.279 0.1755 0.6517 0.8633 0.1638 0.1262 0.0611 0.7813 0.8931
15.83 -0.0693 1.4669 0.0811 1.3756 0.1357 0.1907 0.0827 -1.8077 1.8629 0.0643 0.2111 0.1331 0.7557 0.8591
13.262 -0.4518 1.4611 4.5647 1.5769 0.1641 0.2815 0.1392 -0.3539 1.5293 0.2183 0.1303 0.0623 0.4152 0.7787
10.242 -0.5125 0.9447 4.4114 0.3158 0.1397 0.2951 0.0122 -1.5977 1.3175 0.2172 0.1558 0.1225 0.7413 0.3625
14.342 -0.2502 1.0231 0.2471 1.8778 0.1378 0.2043 0.1008 -0.2915 1.6241 0.218 0.1301 0.041 -0.0456 0.6426
17.054 -0.3373 0.9409 1.2337 1.449 0.1581 0.2583 0.0115 -1.9565 1.9289 0.1742 0.2458 0.1461 -0.7659 0.8647
21.566 -0.4238 0.7323 0.1715 0.8962 0.1527 0.2912 0.1876 0.2425 -0.9703 0.0629 0.2859 0.06 0.5765 0.7163
29.314 0.0402 0.6801 0.0182 0.3954 0.1479 0.1529 0.0747 -0.4397 1.4621 0.2302 0.1596 0.0489 -0.7698 0.8948
29.462 -0.0598 1.0927 2.1229 1.8421 0.1503 0.1546 0.1582 0.9787 -0.2941 0.0264 0.218 0.1181 0.5195 0.8099
11.358 -0.5711 1.1011 3.8729 0.362 0.1395 0.1342 0.0365 0.9289 1.1393 0.2379 0.2788 0.1213 -0.6946 0.6901
11.294 0.3244 0.5539 4.602 0.3937 0.1602 0.1848 0.1162 -0.6569 0.3575 0.0815 0.1306 0.1038 -0.7458 0.3999
12.866 -0.4792 1.2683 0.2825 0.7051 0.1546 0.2972 0.197 -1.7591 -0.5581 0.0282 0.2191 0.0256 -0.6891 0.8417
25.898 -0.5582 0.9573 4.0773 1.6054 0.1527 0.1799 0.0459 0.3541 0.0143 0.0917 0.1254 0.0337 -0.3886 0.4094
20.186 -0.0777 1.4527 3.6911 1.16 0.138 0.254 0.1624 -1.8221 -0.6931 0.2324 0.2892 0.1145 0.2814 0.3685
11.022 -0.3874 1.0757 1.9175 1.9414 0.1597 0.2761 0.1654 0.4675 1.3781 0.1288 0.2865 0.1437 -0.6965 0.9093
20.614 -0.141 0.7681 3.1596 0.4732 0.153 0.1383 0.1921 -1.7969 -0.1693 0.209 0.2972 0.0506 0.6683 0.9453
17.838 -0.5837 1.3013 3.1841 1.6819 0.1564 0.2141 0.0991 -0.7613 0.6191 0.059 0.2988 0.0427 0.1512 0.5802
16.19 -0.3384 0.6259 0.3906 1.5633 0.1644 0.2726 0.1831 0.8851 1.9463 0.0454 0.1503 0.1172 -0.3285 0.3104
12.418 0.3798 1.0103 2.0895 1.2287 0.1625 0.1337 0.1672 0.9373 1.8161 0.1861 0.2375 0.1491 -0.7765 0.3289
25.474 0.5475 0.8595 4.0694 1.9686 0.1576 0.2149 0.0273 -0.3239 0.2231 0.1926 0.2153 0.1435 -0.2741 0.8214
14.006 -0.155 0.5007 1.8212 1.2868 0.1621 0.2832 0.0113 0.0673 1.3139 0.0432 0.2988 0.0506 -0.7422 0.9305
10.738 0.6058 0.6523 1.7898 0.7326 0.1465 0.1501 0.1528 -1.6325 1.3973 0.1005 0.1518 0.0278 0.1253 0.5552
22.238 -0.1432 0.5551 0.1508 1.6506 0.1456 0.1391 0.06 0.6187 -0.8977 0.1161 0.2579 0.0462 -0.6366 0.9326
23.238 -0.3387 0.9117 1.8999 0.5966 0.1591 0.2612 0.0316 -0.8753 1.5959 0.1526 0.1263 0.0334 0.2645 0.6148
27.978 -0.594 0.5099 0.4397 0.5372 0.1592 0.1366 0.1931 -1.2005 -0.2833 0.0514 0.1718 0.0922 0.6101 0.6779
28.006 -0.4708 1.3179 3.6538 1.922 0.1595 0.1959 0.1619 -0.0305 -0.4897 0.2475 0.2669 0.0351 -0.6376 0.7014
29.882 0.0606 1.3145 4.4861 1.379 0.151 0.251 0.0652 -1.7561 1.7711 0.0221 0.1396 0.0851 -0.6712 0.6067
25.826 -0.6971 1.3351 1.9382 0.7802 0.1375 0.2955 0.0553 -0.1193 1.0337 0.2162 0.137 0.0711 -0.5131 0.3334
15.262 0.1533 0.9791 0.027 0.4144 0.1488 0.1608 0.0208 0.2413 1.2983 0.1449 0.2877 0.0442 0.4123 0.8346
28.442 0.6033 0.5699 1.1718 1.8081 0.1635 0.2926 0.188 -1.7153 -0.7009 0.1876 0.1497 0.1479 -0.1262 0.9614
28.762 0.2524 0.5091 3.3236 0.6599 0.1574 0.28 0.0408 0.7393 -0.7621 0.046 0.1346 0.0548 0.2245 0.5284
27.25 0.3801 1.0201 3.1006 1.1403 0.1426 0.2737 0.0299 -0.5015 0.3269 0.2355 0.2269 0.0294 0.7637 0.3737
19.682 -0.4075 0.6685 2.9041 1.9451 0.1445 0.2655 0.176 0.6625 0.8537 0.1934 0.143 0.0476 -0.7848 0.4609
23.026 0.5422 0.6035 3.5388 0.7275 0.1375 0.2948 0.1992 -1.4297 -0.3697 0.1161 0.2252 0.0612 -0.7202 0.4802
19.286 0.2446 0.8873 4.49 1.6126 0.1449 0.1495 0.0448 0.7681 1.8533 0.0939 0.1741 0.0323 0.7899 0.9628
