Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
24.9675 -0.2731 1.0108 1.5806 1.9401 0.1296 0.2763 0.0592 -0.0733 0.7212 0.03 0.1407 0.1287 -0.2436 0.9694
25.3775 -0.2725 1.4782 0.5623 1.6783 0.1421 0.1981 0.0814 0.0602 -0.1038 0.0134 0.2823 0.0327 -0.6716 0.9886
24.5725 -0.5341 0.8392 1.6987 1.2014 0.1329 0.1589 0.1579 -0.4422 -0.8088 0.1578 0.2211 0.1417 -0.6708 0.717
26.0025 -0.4465 0.9118 0.1747 1.3119 0.131 0.133 0.0849 -1.4757 0.1437 0.2448 0.1624 0.126 -0.7484 0.6386
23.0175 -0.1765 0.6662 0.3617 0.3752 0.1379 0.236 0.1691 -0.7752 -0.6978 0.2432 0.2253 0.0695 0.5124 0.7051
21.3425 0.0839 1.3058 0.0888 1.3646 0.1545 0.1626 0.1733 -1.6842 0.7363 0.0247 0.2025 0.1483 -0.5436 0.9333
27.1175 -0.5185 1.2652 1.3706 0.3599 0.1276 0.2384 0.0503 0.5747 -0.3213 0.2357 0.1329 0.1283 -0.7684 0.6701
21.5925 -0.7189 0.9462 0.275 1.6528 0.1323 0.1391 0.1262 0.3498 -0.5012 0.0871 0.1213 0.0755 -0.6508 0.7702
21.1725 -0.3079 0.8222 0.6745 1.9112 0.1337 0.2579 0.101 0.0768 -0.0618 0.0491 0.1442 0.1485 0.7372 0.6498
22.2025 -0.4867 1.1382 0.269 1.776 0.1247 0.1375 0.1186 -1.1967 0.0657 0.087 0.2497 0.1084 -0.7132 0.4237
20.5275 -0.5689 0.5668 1.6469 1.7412 0.1245 0.2882 0.0465 -1.4008 -0.2942 0.2149 0.2707 0.0934 0.3164 0.7961
28.0575 -0.4819 1.2338 1.2363 1.7335 0.1424 0.2762 0.1859 -1.3122 -0.6228 0.0522 0.2085 0.1395 0.3732 0.7114
29.0375 -0.1981 0.6362 0.3064 1.5644 0.1405 0.1499 0.1091 0.0002 -0.9558 0.0576 0.1313 0.0426 -0.2276 0.3068
22.6975 -0.8215 1.4148 1.6494 0.9889 0.1201 0.1775 0.0947 -0.9508 0.3808 0.0415 0.2524 0.0821 -0.7372 0.9771
27.9975 -0.7921 1.1052 0.6864 1.1215 0.1248 0.134 0.1211 0.7607 -0.8882 0.2118 0.2324 0.137 0.3988 0.6176
20.6625 -0.4969 0.5873 0.0293 0.3438 0.1255 0.2768 0.0954 0.8838 -0.6032 0.095 0.1792 0.1497 0.2876 0.92
23.7475 -0.9697 0.9658 1.4267 0.3166 0.1566 0.2972 0.0113 -0.3268 -0.5868 0.1616 0.2309 0.046 0.7796 0.3065
29.0275 -0.6847 0.7738 1.4582 1.0493 0.1216 0.2439 0.0658 -1.4998 -0.8988 0.1437 0.2838 0.0808 -0.5348 0.7744
25.6725 -0.9757 0.7588 0.5096 1.4454 0.1639 0.2923 0.0298 0.4758 -0.1008 0.0163 0.1956 0.0313 -0.3308 0.7174
25.9825 -0.9643 1.3628 1.1046 1.5261 0.1338 0.131 0.1335 -1.4202 -0.8072 0.105 0.2121 0.0575 -0.3012 0.4804
22.0475 -0.9313 0.7288 0.2172 0.4288 0.1317 0.2389 0.1031 0.8733 -0.5192 0.0726 0.2793 0.039 0.0836 0.6344
21.7325 -0.8143 0.5908 0.2478 1.9613 0.1262 0.2706 0.0879 -0.9013 -0.9528 0.2198 0.174 0.0758 -0.0076 0.9547
28.7825 -0.9031 1.4602 0.337 0.3727 0.1403 0.2037 0.0757 -1.5688 -0.2807 0.248 0.2348 0.0369 0.5636 0.9004
